TimeMs,Temp1,Temp2,Temp3,Temp4,CoolantTemp,Current,PumpCmd,FanCmd,PumpRpm,FanRpm,Fault
10300,34.9999,35.4999,34.5999,35.2999,27.7104,100,15,0,600,0,0
10400,34.9999,35.4999,34.5999,35.2999,27.7326,100,15,0,600,0,0
10500,34.9999,35.4999,34.5999,35.2999,27.7547,100,15,0,600,0,0
10600,34.9999,35.4999,34.5999,35.2999,27.7767,100,15,0,600,0,0
10700,34.9999,35.4999,34.5999,35.2999,27.7987,100,15,0,600,0,0
10800,34.9999,35.4999,34.5999,35.2999,27.8206,100,15,0,600,0,0
10900,34.9999,35.4999,34.5999,35.2999,27.8424,100,15,0,600,0,0
11000,34.9999,35.4999,34.5999,35.2999,27.8642,100,15,0,600,0,0
11100,34.9999,35.4999,34.5999,35.2999,27.8859,100,15,0,600,0,0
11200,34.9999,35.4999,34.5999,35.2999,27.9076,100,15,0,600,0,0
11300,34.9999,35.4999,34.5999,35.2999,27.9291,100,15,0,600,0,0
11400,34.9999,35.4999,34.5999,35.2999,27.9507,100,15,0,600,0,0
11500,34.9999,35.4999,34.5999,35.2999,27.9721,100,15,0,600,0,0
11600,34.9999,35.4999,34.5999,35.2999,27.9935,100,15,0,600,0,0
11700,34.9999,35.4999,34.5999,35.2999,28.0148,100,15,0,600,0,0
11800,34.9999,35.4999,34.5999,35.2999,28.0361,100,15,0,600,0,0
11900,34.9999,35.4999,34.5999,35.2999,28.0573,100,15,0,600,0,0
12000,34.9999,35.4999,34.5999,35.2999,28.0784,100,15,0,600,0,0
12100,34.9999,35.4999,34.5999,35.2999,28.0994,100,15,0,600,0,0
12200,34.9999,35.4999,34.5999,35.2999,28.1204,100,15,0,600,0,0
12300,34.9999,35.4999,34.5999,35.2999,28.1414,100,15,0,600,0,0
12400,34.9999,35.4999,34.5999,35.2999,28.1623,100,15,0,600,0,0
12500,34.9999,35.4999,34.5999,35.2999,28.1831,100,15,0,600,0,0
12600,34.9999,35.4999,34.5999,35.2999,28.2038,100,15,0,600,0,0
12700,34.9999,35.4999,34.5999,35.2999,28.2245,100,15,0,600,0,0
12800,34.9999,35.4999,34.5999,35.2999,28.2451,100,15,0,600,0,0
12900,34.9999,35.4999,34.5999,35.2999,28.2657,100,15,0,600,0,0
13000,34.9999,35.4999,34.5999,35.2999,28.2862,100,15,0,600,0,0
13100,34.9999,35.4999,34.5999,35.2999,28.3066,100,15,0,600,0,0
13200,34.9999,35.4999,34.5999,35.2999,28.327,100,15,0,600,0,0
13300,34.9999,35.4999,34.5999,35.2999,28.3473,100,15,0,600,0,0
13400,34.9999,35.4999,34.5999,35.2999,28.3676,100,15,0,600,0,0
13500,34.9999,35.4999,34.5999,35.2999,28.3878,100,15,0,600,0,0
13600,34.9999,35.4999,34.5999,35.2999,28.4079,100,15,0,600,0,0
13700,34.9999,35.4999,34.5999,35.2999,28.428,100,15,0,600,0,0
13800,34.9999,35.4999,34.5999,35.2999,28.448,100,15,0,600,0,0
13900,34.9999,35.4999,34.5999,35.2999,28.468,100,15,0,600,0,0
14000,34.9999,35.4999,34.5999,35.2999,28.4879,100,15,0,600,0,0
14100,34.9999,35.4999,34.5999,35.2999,28.5077,100,15,0,600,0,0
14200,34.9999,35.4999,34.5999,35.2999,28.5275,100,15,0,600,0,0
14300,34.9999,35.4999,34.5999,35.2999,28.5472,100,15,0,600,0,0
14400,34.9999,35.4999,34.5999,35.2999,28.5669,100,15,0,600,0,0
14500,34.9999,35.4999,34.5999,35.2999,28.5865,100,15,0,600,0,0
14600,34.9999,35.4999,34.5999,35.2999,28.606,100,15,0,600,0,0
14700,34.9999,35.4999,34.5999,35.2999,28.6255,100,15,0,600,0,0
14800,34.9999,35.4999,34.5999,35.2999,28.6449,100,15,0,600,0,0
14900,34.9999,35.4999,34.5999,35.2999,28.6643,100,15,0,600,0,0
15000,34.9999,35.4999,34.5999,35.2999,28.6836,100,15,0,600,0,0
15100,34.9999,35.4999,34.5999,35.2999,28.7028,100,15,0,600,0,0
15200,34.9999,35.4999,34.5999,35.2999,28.722,100,15,0,600,0,0
15300,34.9999,35.4999,34.5999,35.2999,28.7412,100,15,0,600,0,0
15400,34.9999,35.4999,34.5999,35.2999,28.7602,100,15,0,600,0,0
15500,34.9999,35.4999,34.5999,35.2999,28.7793,100,15,0,600,0,0
15600,34.9999,35.4999,34.5999,35.2999,28.7982,100,15,0,600,0,0
15700,34.9999,35.4999,34.5999,35.2999,28.8171,100,15,0,600,0,0
15800,34.9999,35.4999,34.5999,35.2999,28.836,100,15,0,600,0,0
15900,34.9999,35.4999,34.5999,35.2999,28.8548,100,15,0,600,0,0
16000,34.9999,35.4999,34.5999,35.2999,28.8735,100,15,0,600,0,0
16100,34.9999,35.4999,34.5999,35.2999,28.8922,100,15,0,600,0,0
16200,34.9999,35.4999,34.5999,35.2999,28.9108,100,15,0,600,0,0
16300,34.9999,35.4999,34.5999,35.2999,28.9294,100,15,0,600,0,0
16400,34.9999,35.4999,34.5999,35.2999,28.9479,100,15,0,600,0,0
16500,34.9999,35.4999,34.5999,35.2999,28.9663,100,15,0,600,0,0
16600,34.9999,35.4999,34.5999,35.2999,28.9847,100,15,0,600,0,0
16700,34.9999,35.4999,34.5999,35.2999,29.0031,100,15,0,600,0,0
16800,34.9999,35.4999,34.5999,35.2999,29.0214,100,15,0,600,0,0
16900,34.9999,35.4999,34.5999,35.2999,29.0396,100,15,0,600,0,0
17000,34.9999,35.4999,34.5999,35.2999,29.0578,100,15,0,600,0,0
17100,34.9999,35.4999,34.5999,35.2999,29.0759,100,15,0,600,0,0
17200,34.9999,35.4999,34.5999,35.2999,29.094,100,15,0,600,0,0
